user_id,timestamp,amount,ip,country,device_id,status,is_fraud
user_16,2023-01-03 17:33:00,5.96,192.168.154.153,US,device_174,success,0
user_44,2023-01-03 19:57:00,104.39,192.168.124.223,RU,device_217,success,0
user_33,2023-01-02 22:15:00,3.04,192.168.195.50,UK,device_1,success,0
user_21,2023-01-02 11:15:00,38.58,192.168.219.216,UK,device_281,success,0
user_8,2023-01-03 11:27:00,46.17,192.168.221.86,US,device_236,success,0
user_5,2023-01-03 00:16:00,53.32,192.168.92.153,US,device_157,success,0
user_75,2023-01-03 19:44:00,13.57,192.168.27.191,DE,device_246,success,0
user_84,2023-01-03 08:30:00,36.1,192.168.237.216,US,device_76,success,0
user_9,2023-01-03 20:54:00,7.77,192.168.161.74,FR,device_157,success,0
user_79,2023-01-01 09:55:00,66.23,192.168.96.151,RU,device_105,success,0
user_48,2023-01-02 20:52:00,31.35,192.168.19.151,FR,device_118,success,0
user_91,2023-01-02 23:39:00,57.51,192.168.253.87,UK,device_169,success,0
user_14,2023-01-03 23:37:00,54.54,192.168.109.208,US,device_72,success,0
user_88,2023-01-01 23:31:00,41.3,192.168.13.205,US,device_248,success,0
user_39,2023-01-01 05:14:00,38.56,192.168.16.26,RU,device_137,success,0
user_14,2023-01-02 01:58:00,10.42,192.168.4.150,UK,device_97,decline,0
user_24,2023-01-03 20:47:00,86.43,192.168.39.183,FR,device_88,success,0
user_35,2023-01-01 06:11:00,135.8,192.168.98.115,DE,device_8,success,0
user_22,2023-01-01 05:25:00,83.63,192.168.94.21,US,device_207,success,0
user_67,2023-01-02 22:09:00,47.2,192.168.132.17,DE,device_202,success,0
user_87,2023-01-03 07:26:00,26.95,192.168.207.242,FR,device_211,success,0
user_77,2023-01-02 19:12:00,28.28,192.168.238.109,US,device_226,success,0
user_67,2023-01-02 09:14:00,10.54,192.168.246.4,RU,device_203,success,0
user_37,2023-01-03 18:55:00,50.84,192.168.92.238,US,device_219,success,0
